food_id,food_name,meal_type,diet_type,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B12,vitamin_C,vitamin_D,vitamin_E,vitamin_K,vitamin_H,food_category,seasonal,season,ingredients,region,state,source
27,Lassi,Snack,Veg,136.37,0.0,19.37,21.71,4.53,319.38,174.38,9.45,6.47,12.21,70.97,3.85,24.01,65.66,10.93,70.48,66.94,15.53,Indian Dish,No,All,"Yogurt, milk, nuts, sugar",North,Punjab,indian_food
28,Nankhatai,Snack,Veg,151.8,0.0,13.47,17.24,7.93,44.85,153.48,10.69,0.3,49.83,76.75,92.22,33.33,15.2,61.67,4.96,34.61,71.87,Indian Dish,No,All,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",-1,-1,indian_food
29,Petha,Snack,Veg,235.54,0.0,15.26,22.0,5.65,140.6,176.5,6.26,14.71,73.73,68.24,9.76,0.96,21.47,41.97,50.53,37.97,85.72,Indian Dish,No,All,"Firm white pumpkin, sugar, kitchen lime, alum powder",North,Uttar Pradesh,indian_food
30,Phirni,Snack,Veg,240.16,0.0,10.26,21.08,11.28,323.03,43.95,11.59,2.01,87.08,38.68,79.74,82.62,43.75,72.26,15.26,38.59,19.41,Indian Dish,No,All,"Rice, sugar, nuts",East,Odisha,indian_food
31,Rabri,Snack,Veg,165.19,0.0,9.12,22.94,7.15,312.06,53.89,7.77,8.11,57.96,94.98,10.8,40.68,64.31,41.3,12.77,17.63,56.58,Indian Dish,No,All,"Condensed milk, sugar, spices, nuts",North,Uttar Pradesh,indian_food
32,Sheera,Snack,Veg,141.21,0.0,18.75,10.28,5.95,52.14,159.77,9.56,5.88,45.71,22.76,55.12,9.82,13.49,96.54,23.0,71.02,73.12,Indian Dish,No,All,"Semolina, ghee, nuts, milk",West,Maharashtra,indian_food
33,Singori,Snack,Veg,158.75,3.48,19.89,7.04,4.38,314.56,114.26,9.6,7.87,11.24,53.41,50.63,89.65,30.42,88.91,94.79,14.98,22.43,Indian Dish,No,All,"Khoa, coconut, molu leaf",North,Uttarakhand,indian_food
34,Sohan halwa,Snack,Veg,273.44,27.73,14.27,15.23,9.54,313.49,119.32,5.02,12.15,48.98,51.89,51.14,19.54,17.25,89.53,1.56,74.81,70.87,Indian Dish,No,All,"Corn flour, ghee, dry fruits",North,Uttar Pradesh,indian_food
35,Sohan papdi,Snack,Veg,332.57,43.53,17.43,11.26,6.18,36.71,141.83,3.85,5.3,76.01,35.18,32.89,16.72,89.4,22.39,60.22,29.77,19.0,Indian Dish,No,All,"Gram flour, ghee, sugar, milk, cardamom",West,Maharashtra,indian_food
36,Chhena jalebi,Snack,Veg,197.3,22.34,8.61,12.18,3.87,264.51,120.72,12.01,0.97,71.19,96.46,62.83,1.52,88.65,40.2,56.77,47.93,79.4,Indian Dish,No,All,"Chhena, sugar, ghee",East,Odisha,indian_food
37,Chhena kheeri,Snack,Veg,204.99,24.7,13.84,8.35,9.29,313.69,162.75,7.66,13.3,19.53,59.15,75.11,68.02,10.95,40.53,9.42,78.3,25.83,Indian Dish,No,All,"Chhena, sugar, milk",East,Odisha,indian_food
38,Chhena poda,Snack,Veg,321.13,18.24,14.57,21.42,6.22,136.09,95.99,10.0,14.96,34.53,12.98,94.78,75.98,21.98,43.36,43.09,7.01,71.37,Indian Dish,No,All,"Sugar, chenna cheese",East,Odisha,indian_food
39,Cham cham,Snack,Veg,336.11,16.72,16.25,23.12,5.96,135.61,110.46,15.5,5.51,15.7,32.33,94.28,64.66,0.64,47.77,13.26,72.4,59.55,Indian Dish,No,All,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",East,West Bengal,indian_food
40,Kheer sagar,Snack,Veg,355.69,45.04,11.7,15.65,6.48,298.07,24.07,13.4,8.16,59.41,65.58,30.42,15.73,55.99,60.23,13.35,33.88,5.63,Indian Dish,No,All,"Chenna, condensed milk, sugar, saffron, cardamom",East,Odisha,indian_food
41,Ledikeni,Snack,Veg,202.31,19.65,19.87,6.45,7.91,216.79,207.19,17.57,5.13,64.6,91.28,99.18,35.16,84.52,31.58,44.96,48.62,0.89,Indian Dish,No,All,"Chhena, sugar, ghee",East,West Bengal,indian_food
42,Lyangcha,Snack,Veg,175.63,0.0,10.96,19.61,7.82,198.48,33.15,10.87,1.83,39.11,15.06,7.73,86.98,0.48,73.81,3.88,36.37,93.94,Indian Dish,No,All,"Flour, fried milk power, sugar syrup",North East,Assam,indian_food
43,Malapua,Snack,Veg,351.33,55.9,6.62,8.24,5.73,340.67,219.49,9.18,10.62,61.91,95.04,49.31,52.63,26.32,23.38,18.41,85.99,18.56,Indian Dish,No,All,"Yoghurt, refined flour, ghee, fennel seeds",North,Bihar,indian_food
44,Mihidana,Snack,Veg,251.99,29.61,14.72,10.3,10.51,168.84,24.7,7.64,5.02,89.26,60.8,0.66,85.06,19.89,24.24,91.63,2.33,97.2,Indian Dish,No,All,"Besan flour, sugar, ghee",East,West Bengal,indian_food
45,Misti doi,Snack,Veg,184.68,24.8,10.32,5.3,7.11,342.16,44.11,6.04,0.19,30.93,68.29,9.96,71.19,94.58,89.72,7.94,99.46,83.75,Indian Dish,No,All,"Milk, jaggery",East,West Bengal,indian_food
46,Pantua,Snack,Veg,283.48,30.41,17.92,7.39,11.66,51.86,57.0,8.45,4.8,55.23,14.99,29.72,8.44,60.31,96.13,32.39,32.21,74.5,Indian Dish,No,All,"Chhena, sugar, ghee, flour",East,West Bengal,indian_food
47,Pithe,Snack,Veg,230.38,0.0,19.51,21.42,7.03,199.81,79.98,11.26,7.32,92.86,33.59,15.55,72.02,72.64,1.98,11.23,79.01,12.77,Indian Dish,No,All,"Rice flour, wheat flour",North East,Assam,indian_food
48,Rasabali,Snack,Veg,226.96,14.59,16.41,12.76,9.82,318.89,158.7,17.05,3.2,51.63,44.48,57.03,9.05,95.75,43.44,31.32,81.97,17.38,Indian Dish,No,All,"Chenna, sweetened milk",East,Odisha,indian_food
49,Ras malai,Snack,Veg,255.47,0.0,11.85,24.68,2.1,283.33,102.61,13.23,3.3,93.51,3.78,18.54,0.53,32.21,95.48,53.07,66.98,86.6,Indian Dish,No,All,"Chhena, reduced milk, pistachio",East,West Bengal,indian_food
50,Rasgulla,Snack,Veg,180.0,40.0,4.0,2.0,0.0,287.92,194.7,2.97,4.97,36.48,79.55,96.9,78.35,87.96,69.42,70.05,20.25,78.28,Indian Dish,No,All,"Chhena, sugar, cardamom",East,West Bengal,indian_food
51,Sandesh,Snack,Veg,299.35,9.32,9.37,22.77,8.23,125.83,218.88,17.12,9.88,52.05,77.07,19.41,59.1,79.49,34.81,55.5,56.27,53.93,Indian Dish,No,All,"Milk, sugar, saffron, cardamom",East,West Bengal,indian_food
52,Adhirasam,Snack,Veg,142.54,9.28,14.24,8.02,6.24,309.61,87.22,10.32,2.98,81.91,12.7,59.67,61.13,74.37,45.51,85.9,22.83,25.32,Indian Dish,No,All,"Rice flour, jaggery, ghee, vegetable oil, elachi",East,West Bengal,indian_food
53,Ariselu,Snack,Veg,178.66,0.0,8.11,16.69,9.64,103.54,142.69,12.71,7.36,62.56,60.22,30.91,39.35,20.52,25.19,23.08,25.94,70.68,Indian Dish,No,All,"Rice flour, jaggery, ghee",South,Andhra Pradesh,indian_food
54,Bandar laddu,Snack,Veg,260.36,9.35,15.31,15.29,3.9,79.97,45.61,12.57,10.3,48.29,81.43,35.76,10.21,22.09,98.71,69.92,21.95,26.45,Indian Dish,No,All,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",South,Andhra Pradesh,indian_food
55,Chikki,Snack,Veg,214.19,0.0,15.6,22.26,5.69,106.84,128.12,11.57,3.01,4.47,25.57,39.2,75.61,63.44,42.74,42.36,81.75,40.27,Indian Dish,No,All,"Peanuts, jaggery",West,Maharashtra,indian_food
56,Dharwad pedha,Snack,Veg,135.29,0.0,12.01,18.2,11.19,116.35,170.37,7.7,10.47,35.2,21.08,62.39,96.02,25.48,77.96,51.93,19.85,20.32,Indian Dish,No,All,"Milk, Sugar, Dharwadi buffalo milk",South,Karnataka,indian_food
57,Double ka meetha,Snack,Veg,277.71,16.87,11.83,22.15,1.7,251.05,157.41,8.54,6.37,40.88,29.72,50.74,55.7,1.95,3.45,58.29,34.16,91.17,Indian Dish,No,All,"Loaf bread, milk",South,Telangana,indian_food
58,Gavvalu,Snack,Veg,365.14,57.25,14.17,12.73,7.68,137.03,43.14,10.33,7.71,39.27,0.84,56.32,33.47,15.29,37.18,94.66,84.06,29.37,Indian Dish,No,All,"Rice flour, sugar, salt, ghee, semolina",South,Andhra Pradesh,indian_food
59,Kakinada khaja,Snack,Veg,192.0,0.0,14.94,14.39,2.25,256.49,150.74,6.96,6.69,6.17,78.16,51.69,81.08,72.1,99.94,76.18,92.12,11.93,Indian Dish,No,All,"Wheat flour, sugar",South,Andhra Pradesh,indian_food
60,Kuzhi paniyaram,Snack,Veg,293.39,3.95,17.66,19.47,11.43,232.27,24.84,7.79,5.26,80.77,85.01,88.76,39.17,85.85,40.13,44.11,32.12,78.13,Indian Dish,No,All,"Black lentils, rice",South,Kerala,indian_food
61,Mysore pak,Snack,Veg,373.53,15.59,13.66,24.81,6.52,350.0,110.8,1.77,1.07,59.33,95.01,42.53,86.84,76.58,58.09,73.01,53.0,19.3,Indian Dish,No,All,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",South,Karnataka,indian_food
62,Obbattu holige,Lunch,Veg,579.51,90.81,11.15,20.33,6.99,146.34,58.7,11.67,6.57,75.55,16.7,15.59,2.65,47.88,61.62,51.98,49.84,16.02,Indian Dish,No,All,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",South,Karnataka,indian_food
63,Palathalikalu,Snack,Veg,278.67,31.23,18.63,10.23,7.38,183.83,186.17,10.53,12.11,51.05,91.03,0.35,62.88,40.53,59.84,96.59,99.65,80.09,Indian Dish,No,All,"Rice flour, milk",South,Andhra Pradesh,indian_food
64,Poornalu,Snack,Veg,287.93,34.86,17.69,11.93,7.16,291.63,158.59,10.21,12.92,78.93,56.63,93.2,6.68,85.98,73.93,97.97,85.97,91.38,Indian Dish,No,All,"Chana dal, jaggery",South,Andhra Pradesh,indian_food
65,Pongal,Snack,Veg,215.45,11.9,17.8,11.04,6.08,178.24,230.71,14.52,3.74,6.61,66.85,63.79,54.58,30.26,60.91,76.8,2.37,70.51,Indian Dish,No,All,"Rice, jaggery, cashews, ghee",South,Tamil Nadu,indian_food
66,Pootharekulu,Snack,Veg,301.03,40.63,10.71,11.87,2.32,115.68,79.37,13.87,7.23,74.17,46.01,20.93,98.19,1.78,40.59,62.47,54.88,88.56,Indian Dish,No,All,"Rice flour, powdered sugar, ghee",South,Andhra Pradesh,indian_food
67,Qubani ka meetha,Snack,Veg,279.22,32.72,10.76,9.9,8.65,305.91,20.48,15.51,12.05,10.06,15.43,68.12,67.42,73.61,81.79,87.36,51.81,19.78,Indian Dish,No,All,"Apricots, sugar syrup",South,Telangana,indian_food
68,Sheer korma,Snack,Veg,122.2,0.0,7.97,19.49,9.46,343.1,136.95,16.76,6.08,3.7,96.05,28.82,25.05,92.69,57.88,96.31,80.96,78.33,Indian Dish,No,All,"Vermicelli pudding, milk",South,Telangana,indian_food
69,Unni Appam,Snack,Veg,161.14,0.0,6.13,20.55,11.35,244.64,45.85,13.82,9.61,9.17,89.83,61.66,22.79,13.75,25.04,59.54,30.79,48.55,Indian Dish,No,All,"Rice flour, banana, jaggery, coconut",South,Tamil Nadu,indian_food
70,Kajjikaya,Snack,Veg,268.31,11.3,18.06,20.94,5.73,290.88,175.1,16.83,1.18,83.72,75.5,93.77,27.89,98.77,15.54,45.62,91.46,94.01,Indian Dish,No,All,"Rice flour, jaggery, coconut",South,Andhra Pradesh,indian_food
71,Anarsa,Snack,Veg,280.45,8.03,6.52,24.19,8.62,310.48,149.07,8.98,2.45,8.43,78.83,99.23,89.39,91.52,49.94,80.21,76.63,81.91,Indian Dish,No,All,"Rice flour, jaggery, khus-khus seeds",West,Maharashtra,indian_food
72,Basundi,Snack,Veg,260.0,28.0,10.0,14.0,0.0,134.46,78.44,10.06,5.23,19.3,11.78,19.8,2.78,22.79,62.56,69.6,13.87,9.02,Indian Dish,No,All,"Sugar, milk, nuts",West,Gujarat,indian_food
73,Dhondas,Snack,Veg,209.01,0.0,19.41,22.45,4.29,21.55,95.89,5.67,11.35,31.88,30.86,59.25,27.18,82.91,61.02,23.78,26.71,70.7,Indian Dish,No,All,"Cucumber, rava",West,Maharashtra,indian_food
74,Doodhpak,Snack,Veg,155.15,0.0,10.91,10.87,5.84,184.66,53.84,17.23,13.19,47.01,24.08,9.4,19.48,73.7,32.17,19.08,56.36,79.76,Indian Dish,No,All,"Milk, rice, sugar, dry fruits",West,Gujarat,indian_food
75,Mahim halwa,Snack,Veg,132.13,8.13,7.32,5.71,9.11,24.52,22.08,5.53,1.44,8.08,63.87,91.24,21.82,29.86,90.38,38.44,54.92,71.18,Indian Dish,No,All,"Semolina, sugar",West,Maharashtra,indian_food
76,Modak,Snack,Veg,280.0,38.0,6.0,14.0,3.0,307.68,83.81,0.84,7.16,38.98,68.96,15.04,69.94,52.87,73.47,13.73,33.91,48.05,Indian Dish,No,All,"Rice flour, coconut, jaggery ",West,Maharashtra,indian_food
77,Shankarpali,Snack,Veg,209.65,5.42,7.41,20.13,11.19,148.48,231.8,10.39,1.39,72.47,69.2,50.23,87.21,94.42,15.06,56.93,74.39,60.45,Indian Dish,No,All,"Sugar, ghee, maida flour, semolina",West,Maharashtra,indian_food
78,Shrikhand,Snack,Veg,240.0,32.0,8.0,12.0,0.0,94.12,169.37,15.6,0.52,68.19,28.11,10.91,94.67,51.51,47.75,86.78,35.45,46.23,Indian Dish,No,All,"Curd, sugar, saffron, cardamom",West,Maharashtra,indian_food
79,Sutar feni,Snack,Veg,298.37,32.09,12.36,13.59,6.23,147.52,240.83,12.06,8.13,93.1,23.98,36.99,56.74,11.75,97.45,54.17,46.2,20.37,Indian Dish,No,All,"Maida, sugar, ghee",West,Maharashtra,indian_food
80,Maach Jhol,Lunch,Non-Veg,512.28,68.98,28.91,15.64,2.3,250.5,43.59,3.51,14.26,8.96,38.89,10.86,72.0,22.36,28.74,26.02,42.09,95.28,Indian Dish,No,All,"Fish, potol, tomato, chillies, ginger, garlic",North East,Assam,indian_food
81,Pork Bharta,Lunch,Non-Veg,239.31,0.0,23.5,30.99,5.31,83.74,14.68,14.2,0.99,63.39,46.3,26.5,11.95,18.1,54.72,89.2,47.32,61.54,Indian Dish,No,All,"Boiled pork, onions, chillies, ginger and garlic",North East,Tripura,indian_food
82,Chak Hao Kheer,Snack,Veg,311.8,19.29,18.42,15.93,11.05,273.91,223.88,5.51,10.74,65.83,23.22,21.3,52.4,65.73,2.84,43.7,98.75,76.98,Indian Dish,No,All,"Rice, milk, sugar, cardamom",North East,Manipur,indian_food
83,Galho,Lunch,Non-Veg,433.17,23.66,25.84,24.37,10.26,99.97,225.44,16.33,11.41,77.36,50.75,91.77,23.59,75.39,44.2,7.3,10.87,71.82,Indian Dish,No,All,"Rice, axone, salt, water, chillies, pork",North East,Nagaland,indian_food
84,Aloo gobi,Lunch,Veg,140.0,15.0,3.0,10.0,5.0,138.3,77.75,17.59,12.63,21.7,7.5,84.83,52.31,33.82,1.0,62.74,95.44,59.21,Indian Dish,No,All,"Cauliflower, potato, garam masala, turmeric, curry leaves",North,Punjab,indian_food
85,Aloo tikki,Lunch,Veg,516.18,74.16,13.64,14.29,1.67,29.02,177.39,10.82,10.1,60.21,19.7,11.39,22.28,0.98,47.32,44.39,97.56,15.54,Indian Dish,No,All,"Rice flour, potato, bread crumbs, garam masala, salt",North,Punjab,indian_food
86,Aloo matar,Lunch,Veg,494.15,97.07,16.89,5.78,4.69,194.87,216.28,4.15,2.45,49.78,49.43,30.79,3.71,35.7,99.67,80.44,84.63,72.5,Indian Dish,No,All,"Potato, peas, chillies, ginger, garam masala, garlic",North,Punjab,indian_food
87,Aloo methi,Lunch,Veg,644.12,138.94,11.54,7.41,11.51,53.42,43.27,3.94,12.04,72.22,28.13,17.9,27.65,85.1,23.71,60.73,45.64,56.29,Indian Dish,No,All,"Potato, fenugreek leaves, chillies, salt, oil",North,Punjab,indian_food
88,Aloo shimla mirch,Lunch,Veg,517.33,68.39,9.76,19.8,11.24,263.62,227.1,11.2,14.6,56.52,31.23,8.6,2.54,64.16,15.71,42.55,96.22,53.89,Indian Dish,No,All,"Potato, shimla mirch, garam masala, amchur powder, salt",North,Punjab,indian_food
89,Bhatura,Lunch,Veg,380.0,42.0,10.0,22.0,4.0,102.62,200.83,16.8,7.87,47.34,81.15,25.7,35.83,47.43,53.28,43.5,34.81,4.74,Indian Dish,No,All,"Chole, rava, yogurt, plain flour, baking soda",North,Punjab,indian_food
90,Bhindi masala,Lunch,Veg,490.02,78.6,12.92,16.16,1.97,31.9,170.46,13.09,10.25,7.67,42.98,79.95,88.6,38.09,45.95,79.56,54.04,37.92,Indian Dish,No,All,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",North,Punjab,indian_food
91,Biryani,Lunch,Non-Veg,324.32,0.0,24.37,30.97,3.24,312.76,50.8,10.62,6.51,87.99,8.6,45.84,45.31,55.98,3.95,79.19,3.09,22.17,Indian Dish,No,All,"Chicken thighs, basmati rice, star anise, sweet, green chillies",South,Telangana,indian_food
92,Butter chicken,Lunch,Non-Veg,280.0,5.0,25.0,20.0,1.0,238.94,107.59,17.32,9.45,86.72,91.3,87.84,4.43,73.22,25.98,2.17,15.37,6.86,Indian Dish,No,All,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",North,NCT of Delhi,indian_food
93,Chana masala,Lunch,Veg,234.17,22.43,17.7,12.14,9.2,156.47,66.33,11.22,8.97,78.73,72.15,33.75,18.25,34.11,9.52,3.33,50.59,79.35,Indian Dish,No,All,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",North,Punjab,indian_food
94,Chapati,Lunch,Veg,428.75,43.81,9.99,19.92,4.1,223.0,57.9,16.55,12.94,4.63,28.66,25.31,69.93,12.4,19.82,99.93,97.92,16.06,Indian Dish,No,All,"Whole wheat flour, olive oil, hot water, all purpose flour",West,Maharashtra,indian_food
95,Chicken razala,Lunch,Non-Veg,413.51,1.82,33.16,26.9,7.37,55.74,242.76,15.35,9.63,19.16,87.76,19.48,78.33,7.72,31.83,51.12,41.62,62.83,Indian Dish,No,All,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",East,West Bengal,indian_food
96,Chicken Tikka masala,Lunch,Non-Veg,298.76,0.0,30.08,32.49,7.93,297.94,167.34,14.39,13.08,28.78,3.71,46.01,40.46,85.65,55.62,79.67,61.81,13.42,Indian Dish,No,All,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",North,Punjab,indian_food
97,Chicken Tikka,Snack,Non-Veg,220.0,4.0,26.0,10.0,1.0,226.19,80.17,5.68,3.81,66.85,28.69,24.74,44.44,92.2,61.02,91.63,90.19,21.15,Indian Dish,No,All,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",North,Punjab,indian_food
98,Chole bhature,Lunch,Veg,380.0,45.0,12.0,22.0,8.0,119.84,78.36,12.48,7.78,27.32,65.46,80.78,52.4,68.87,2.95,75.3,80.15,72.61,Indian Dish,No,All,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",North,Punjab,indian_food
99,Daal baati churma,Lunch,Veg,269.99,20.07,11.74,19.66,9.92,89.07,74.15,17.81,4.93,67.0,11.97,81.27,70.43,2.8,64.47,38.29,59.53,13.25,Indian Dish,No,All,"Moong dal, masoor dal, chana dal, wheat flour, almond",West,Rajasthan,indian_food
100,Daal puri,Lunch,Veg,331.81,23.78,6.53,20.08,6.69,130.41,132.2,10.29,9.77,84.35,14.42,39.28,82.41,25.29,43.44,64.11,47.75,44.65,Indian Dish,No,All,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",East,West Bengal,indian_food
101,Dal makhani ,Lunch,Veg,364.36,28.2,11.67,23.31,8.13,312.79,188.7,3.31,3.15,2.95,23.28,42.07,60.25,32.43,78.48,47.69,56.23,55.53,Indian Dish,No,All,"Red kidney beans, urad dal, cream, garam masala, chili powder",North,Punjab,indian_food
102,Dal tadka,Lunch,Veg,120.0,18.0,7.0,4.0,8.0,298.35,144.92,13.76,10.23,10.0,53.27,27.79,9.25,98.41,44.15,71.37,11.94,83.47,Indian Dish,No,All,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",North,Punjab,indian_food
103,Dum aloo,Lunch,Veg,390.6,26.0,11.22,23.29,11.54,256.41,227.62,0.74,11.22,21.31,79.59,39.97,45.18,61.62,32.44,76.73,99.83,25.09,Indian Dish,No,All,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",North,Jammu & Kashmir,indian_food
