food_name,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g
Paneer Curry,213,0.0,29.55,11.88,8.97
Grilled Chicken,146,0.0,28.36,7.21,1.82
Dosa,189,15.39,9.74,9.83,1.76
Curd Rice,344,76.62,6.14,1.44,4.82
Rice and Dal,388,36.88,8.71,22.85,12.02
Fish Curry,110,0.0,18.4,18.54,11.21
Vegetable Soup,95,0.0,20.0,9.77,12.53
Vegetable Upma,213,0.0,10.9,23.33,2.39
Vegetable Soup,228,0.0,32.77,23.2,10.1
Fruit Salad,162,0.0,31.62,6.81,2.82
Rice and Dal,150,0.0,33.75,3.42,5.02
Oats Porridge,405,64.51,25.94,4.8,10.66
Fish Curry,86,0.0,27.97,1.77,8.03
Grilled Chicken,359,26.05,26.01,16.75,4.65
Fruit Salad,125,0.0,25.29,4.35,12.16
Grilled Chicken,244,11.78,29.64,8.7,9.03
Vegetable Khichdi,429,53.84,31.45,9.76,9.03
Dosa,120,0.0,18.54,20.24,1.16
Chapati with Curry,233,13.84,25.65,8.34,3.83
Vegetable Khichdi,139,0.0,18.96,18.11,4.21
Chapati with Curry,142,0.0,26.11,12.13,10.54
Fish Curry,105,0.0,30.44,5.64,6.6
Vegetable Khichdi,365,51.11,17.03,10.27,9.01
Fruit Salad,366,69.18,15.41,3.07,3.55
Rice and Dal,373,17.97,27.47,21.25,8.07
Fish Curry,248,8.48,3.41,22.27,4.16
Vegetable Soup,317,47.58,9.42,9.89,14.9
Fruit Salad,321,24.43,20.61,15.65,10.04
Chapati with Curry,444,85.37,13.73,5.29,1.22
Dosa,442,76.47,12.39,9.62,9.04
Rice and Dal,284,57.52,8.55,2.19,2.06
Vegetable Biryani,243,21.44,4.03,15.68,13.56
Vegetable Upma,415,69.71,4.99,12.91,6.82
Paneer Curry,288,46.77,21.54,1.64,2.17
Vegetable Biryani,383,50.47,2.76,18.9,2.86
Curd Rice,364,37.09,2.54,22.83,5.84
Oats Porridge,95,0.0,27.75,4.01,7.82
Vegetable Biryani,122,0.0,21.19,21.89,8.47
Curd Rice,449,32.33,25.47,24.2,7.55
Vegetable Upma,283,13.33,21.76,15.85,5.46
Rice and Dal,416,38.59,11.14,24.12,11.64
Chapati with Curry,307,18.33,23.93,15.33,13.24
Vegetable Khichdi,85,0.0,6.78,14.23,14.73
Rice and Dal,447,91.23,5.62,6.62,14.63
Fruit Salad,272,0.0,19.98,23.64,4.25
Chapati with Curry,202,0.24,5.42,19.93,8.82
Chapati with Curry,380,61.78,18.19,6.68,3.35
Idli,185,0.87,7.51,16.83,9.1
Grilled Chicken,162,0.0,17.05,18.6,9.0
Egg Omelette,94,0.0,34.36,5.88,9.48
Vegetable Khichdi,109,0.0,12.8,15.66,6.52
Oats Porridge,350,45.22,6.87,15.74,9.79
Chapati with Curry,161,0.0,11.46,23.4,13.61
Egg Omelette,106,0.0,28.63,18.31,11.5
Egg Omelette,94,0.0,11.36,15.67,13.73
Fish Curry,212,13.31,3.13,16.25,13.12
Egg Omelette,285,33.42,10.74,12.04,2.47
Fruit Salad,123,0.0,25.5,7.49,14.67
Vegetable Soup,193,9.42,19.75,8.48,1.18
Idli,82,0.0,9.98,8.0,11.78
Chapati with Curry,131,0.0,33.9,6.09,11.09
Oats Porridge,97,4.18,16.88,1.42,8.83
Vegetable Soup,83,0.0,2.98,23.88,4.26
Vegetable Soup,219,12.85,23.09,8.36,10.26
Vegetable Soup,199,0.0,3.59,21.94,8.94
Fruit Salad,380,41.18,29.9,10.63,13.1
Paneer Curry,419,62.01,29.6,5.84,4.32
Idli,116,0.0,30.39,16.13,4.19
Vegetable Soup,439,46.14,32.24,13.94,5.92
Oats Porridge,410,70.45,11.6,9.09,11.06
Vegetable Biryani,409,17.68,34.51,22.25,14.06
Fish Curry,328,32.27,17.94,14.13,12.22
Idli,341,37.75,31.23,7.23,8.0
Paneer Curry,265,21.42,10.74,15.15,7.38
Dosa,296,44.34,25.48,1.86,5.36
Dosa,130,17.41,8.61,2.88,2.86
Oats Porridge,231,7.38,4.72,20.29,14.47
Vegetable Soup,156,18.01,12.24,3.89,8.96
Egg Omelette,233,1.8,16.27,17.86,2.92
Vegetable Upma,156,0.0,3.59,19.85,11.85
Vegetable Upma,104,0.0,11.33,17.04,2.07
Fish Curry,140,0.0,16.3,13.44,5.26
Rice and Dal,276,11.09,8.7,21.87,2.79
Vegetable Soup,315,39.93,28.74,4.48,4.55
Egg Omelette,351,69.42,11.89,2.86,2.64
Paneer Curry,187,10.13,14.28,9.93,12.52
Paneer Curry,334,56.4,7.28,8.81,14.3
Vegetable Khichdi,121,0.0,10.85,17.56,7.39
Fruit Salad,323,51.38,2.96,11.74,14.85
Oats Porridge,118,0.0,23.21,4.86,14.52
Dosa,196,0.0,28.08,15.43,10.48
Vegetable Soup,228,0.0,33.62,24.71,1.98
Vegetable Upma,112,0.0,17.4,18.55,7.45
Vegetable Khichdi,261,13.5,22.95,12.8,13.06
Fruit Salad,334,29.65,22.8,13.8,5.63
Oats Porridge,362,53.42,25.29,5.24,1.48
Oats Porridge,84,0.0,7.6,11.02,4.98
Curd Rice,391,45.06,25.01,12.3,10.06
Fish Curry,139,0.0,10.78,17.56,13.28
Vegetable Upma,431,82.06,3.84,9.71,10.57
Dosa,330,12.77,27.45,18.79,7.58
Curd Rice,343,8.94,27.78,21.79,5.06
Oats Porridge,415,61.17,11.37,13.87,6.99
Paneer Curry,381,21.6,28.4,20.11,13.38
Vegetable Upma,380,21.95,20.6,23.31,3.34
Grilled Chicken,242,34.41,21.91,1.86,4.4
Grilled Chicken,221,9.8,17.14,12.58,14.98
Rice and Dal,443,68.91,7.82,15.12,10.0
Vegetable Upma,324,20.4,31.62,12.88,10.78
Chapati with Curry,374,63.49,23.28,2.99,7.54
Paneer Curry,324,42.08,19.88,8.46,6.45
Dosa,403,49.71,7.14,19.51,8.79
Vegetable Biryani,207,3.28,17.4,13.81,5.9
Vegetable Biryani,151,0.0,9.92,24.43,9.45
Egg Omelette,129,0.0,28.77,9.66,1.34
Oats Porridge,312,50.34,4.15,10.45,8.99
Fruit Salad,421,53.84,30.49,9.3,3.59
Vegetable Soup,365,50.28,8.93,14.24,4.3
Vegetable Soup,252,18.95,28.59,6.87,9.52
Grilled Chicken,332,41.3,32.72,3.99,7.17
Grilled Chicken,303,26.64,13.61,15.78,7.08
Chapati with Curry,310,53.05,4.99,8.65,9.13
Chapati with Curry,123,0.0,23.69,20.33,5.27
Oats Porridge,372,41.25,10.46,18.35,4.88
Chapati with Curry,358,61.91,2.98,10.94,13.62
Dosa,228,42.23,4.64,4.5,13.72
Oats Porridge,301,10.11,25.18,17.76,2.86
Vegetable Khichdi,289,18.25,34.92,8.48,5.97
Vegetable Khichdi,365,38.74,33.7,8.36,6.47
Curd Rice,381,25.19,25.06,20.0,1.78
Vegetable Biryani,394,67.58,6.15,11.01,13.52
Chapati with Curry,100,0.0,28.25,19.14,10.91
Grilled Chicken,103,0.0,17.56,10.27,14.97
Fruit Salad,324,36.32,8.75,15.97,11.85
Paneer Curry,442,49.61,20.84,17.8,12.62
Vegetable Khichdi,149,0.0,31.35,19.5,9.83
Vegetable Biryani,285,23.23,6.87,18.29,6.08
Vegetable Soup,435,30.48,23.01,24.56,3.63
Grilled Chicken,205,8.05,29.86,5.93,12.39
Dosa,173,0.0,24.14,9.95,2.44
Vegetable Khichdi,323,50.78,13.72,7.22,5.85
Egg Omelette,251,12.63,4.65,20.21,4.42
Egg Omelette,384,13.65,29.32,23.57,4.98
Fish Curry,126,0.0,22.74,8.63,2.22
Rice and Dal,93,0.0,4.11,20.55,8.83
Idli,422,66.93,5.32,14.78,10.51
Grilled Chicken,177,0.0,18.86,20.24,2.6
Idli,100,2.62,2.63,8.78,4.12
Idli,291,19.14,28.77,11.04,6.63
Fish Curry,149,0.0,4.74,15.8,12.75
Fruit Salad,198,32.55,8.63,3.7,3.33
Chapati with Curry,446,65.99,32.03,5.99,3.13
Idli,431,56.78,27.03,10.64,12.58
Fish Curry,108,0.0,33.82,21.01,4.37
Chapati with Curry,159,0.0,23.0,11.72,7.11
Chapati with Curry,118,8.14,12.49,3.94,7.78
Vegetable Biryani,185,0.0,29.44,18.61,14.59
Fruit Salad,362,47.76,2.65,17.82,6.13
Grilled Chicken,219,25.05,7.79,9.74,11.83
Rice and Dal,146,0.0,33.04,10.37,4.78
Vegetable Soup,282,18.05,6.03,20.63,4.69
Fish Curry,420,58.26,13.33,14.85,4.02
Oats Porridge,430,94.03,3.71,4.34,5.65
Vegetable Khichdi,344,29.97,26.98,12.91,10.84
Egg Omelette,151,22.67,10.31,2.12,4.26
Grilled Chicken,354,41.67,11.77,15.58,4.64
Grilled Chicken,155,0.0,21.34,12.19,12.37
Chapati with Curry,113,0.0,23.84,24.42,9.66
Fish Curry,282,28.86,27.65,6.22,13.77
Idli,148,0.0,10.55,23.17,8.08
Dosa,108,18.46,3.16,2.39,8.42
Fish Curry,245,0.0,34.99,12.99,13.01
Grilled Chicken,398,62.61,26.81,4.48,8.15
Chapati with Curry,121,0.0,29.49,17.78,4.66
Egg Omelette,282,0.0,32.26,17.87,13.4
Vegetable Upma,375,43.08,27.9,10.12,2.66
Vegetable Soup,107,0.0,12.3,15.46,3.73
Rice and Dal,416,50.35,12.05,18.49,13.77
Vegetable Biryani,226,28.46,22.01,2.68,3.71
Vegetable Biryani,190,0.0,20.92,18.61,2.43
Oats Porridge,432,26.79,27.12,24.04,3.47
Vegetable Soup,246,28.64,28.0,2.16,14.79
Rice and Dal,347,60.04,8.37,8.15,3.12
Oats Porridge,404,35.67,15.27,22.25,12.62
Curd Rice,414,54.42,29.35,8.77,14.09
Chapati with Curry,419,78.41,17.56,3.9,1.88
Fish Curry,173,0.0,28.95,7.71,7.52
Curd Rice,285,31.88,23.82,6.91,5.7
Paneer Curry,275,36.92,12.84,8.44,8.98
Vegetable Biryani,434,60.88,5.73,18.62,8.04
Vegetable Biryani,285,0.0,22.78,23.16,10.33
Oats Porridge,332,67.68,2.79,5.57,4.68
Curd Rice,301,0.0,33.73,23.54,8.7
Chapati with Curry,123,0.0,17.62,22.47,4.86
Paneer Curry,304,19.83,31.94,10.77,4.07
Grilled Chicken,302,7.38,28.54,17.59,12.05
Vegetable Soup,240,0.0,32.74,18.53,3.96
Curd Rice,199,2.43,32.02,6.8,12.17
Grilled Chicken,443,94.81,10.09,2.6,13.16
Oats Porridge,266,22.53,21.43,10.02,5.2
Egg Omelette,126,0.0,11.87,17.46,6.05
Egg Omelette,297,39.68,22.44,5.39,12.09
Vegetable Khichdi,272,27.91,4.79,15.69,3.92
Fish Curry,294,19.39,22.59,14.01,12.14
Vegetable Soup,110,0.0,6.0,24.54,4.18
Paneer Curry,383,76.7,10.14,3.96,9.85
Vegetable Soup,122,0.0,15.25,7.08,5.43
Fruit Salad,268,0.0,27.45,24.02,13.53
Vegetable Biryani,444,51.55,6.17,23.68,12.76
Idli,361,25.63,33.23,13.95,5.31
Paneer Curry,150,4.92,9.56,10.23,3.08
Grilled Chicken,419,64.68,3.17,16.4,13.83
Rice and Dal,169,0.0,16.89,15.02,7.16
Oats Porridge,192,19.97,16.65,5.06,9.8
Paneer Curry,284,55.88,7.61,3.34,2.98
Vegetable Khichdi,204,38.11,7.33,2.47,14.73
Vegetable Upma,419,62.5,12.19,13.36,13.74
Idli,202,18.53,15.59,7.28,5.02
Chapati with Curry,429,49.14,32.59,11.34,3.53
Grilled Chicken,416,55.58,25.81,10.05,14.06
Rice and Dal,161,0.0,19.34,15.46,1.26
Rice and Dal,396,43.12,7.93,21.31,6.73
Idli,407,36.05,10.94,24.34,1.18
Vegetable Soup,239,7.51,26.66,11.37,4.31
Chapati with Curry,296,11.16,19.48,19.27,11.85
Fish Curry,333,33.01,25.87,10.83,7.69
Vegetable Khichdi,130,0.0,8.53,23.74,2.34
Idli,168,0.0,3.27,20.01,14.0
Vegetable Khichdi,292,0.0,32.95,24.43,14.11
Egg Omelette,250,27.4,23.81,5.02,8.87
Paneer Curry,229,2.21,10.87,19.63,4.04
Grilled Chicken,108,0.0,34.26,23.55,6.26
Vegetable Khichdi,303,48.67,4.74,9.93,3.86
Idli,434,40.01,15.82,23.41,3.25
Vegetable Khichdi,340,31.36,17.95,15.86,5.13
Vegetable Soup,328,54.11,9.08,8.36,9.56
Rice and Dal,332,15.22,12.61,24.52,8.28
Vegetable Khichdi,371,44.18,5.51,19.14,1.38
Vegetable Khichdi,131,14.85,7.21,4.75,7.76
Vegetable Upma,365,63.99,3.03,10.77,5.69
Vegetable Khichdi,337,20.17,26.73,16.6,5.64
Egg Omelette,320,36.76,27.51,6.99,2.48
Chapati with Curry,243,0.0,33.15,16.12,8.5
Fruit Salad,316,24.52,6.44,21.35,7.85
Fish Curry,303,11.95,33.85,13.31,12.79
Chapati with Curry,155,0.0,29.22,17.99,3.37
Curd Rice,174,26.91,12.83,1.67,4.55
Vegetable Khichdi,290,34.34,19.06,8.49,7.15
Curd Rice,395,25.06,23.56,22.28,14.07
Vegetable Upma,184,0.0,14.8,17.93,12.28
Dosa,237,0.0,9.97,24.55,4.34
Vegetable Biryani,373,51.98,11.64,13.17,12.34
Paneer Curry,199,20.98,5.95,10.14,9.49
Vegetable Upma,444,76.3,20.77,6.19,13.67
Rice and Dal,449,71.88,2.23,16.95,14.72
Dosa,443,56.76,23.12,13.72,13.77
Fruit Salad,100,4.59,9.03,5.06,5.79
Vegetable Biryani,385,52.76,15.59,12.4,6.3
Chapati with Curry,186,4.84,17.31,10.82,5.15
Egg Omelette,151,0.0,26.89,17.06,3.16
Vegetable Biryani,89,0.0,31.71,5.95,9.54
Fruit Salad,179,0.0,4.18,19.19,12.36
Vegetable Upma,163,0.0,16.1,11.18,5.11
Fish Curry,380,36.28,14.93,19.46,14.91
Rice and Dal,206,11.26,18.26,9.77,4.37
Vegetable Soup,257,16.57,21.51,11.63,8.64
Curd Rice,143,11.61,17.3,3.04,2.9
Fruit Salad,92,0.0,31.12,18.96,13.6
Idli,188,0.0,8.31,17.94,14.1
Fruit Salad,366,76.53,5.05,4.41,9.7
Idli,359,75.97,6.72,3.14,14.48
Vegetable Khichdi,129,0.0,9.83,21.68,8.93
Chapati with Curry,415,83.34,2.37,8.02,6.57
Chapati with Curry,117,0.0,3.15,16.33,11.64
Vegetable Biryani,209,0.0,33.09,17.67,1.94
Rice and Dal,302,41.3,17.75,7.31,13.79
Rice and Dal,351,24.64,21.87,18.33,13.7
Curd Rice,95,0.0,19.77,20.36,8.56
Grilled Chicken,384,52.17,15.97,12.38,1.15
Paneer Curry,390,45.84,18.92,14.55,13.26
Vegetable Soup,288,47.48,18.98,2.46,3.5
Rice and Dal,163,0.0,12.35,24.67,7.93
Fruit Salad,377,40.21,6.61,21.08,13.62
Oats Porridge,144,0.0,32.52,7.04,14.93
Egg Omelette,202,3.23,32.4,6.61,6.88
Vegetable Upma,107,0.0,32.82,10.93,14.91
Fruit Salad,264,29.15,17.86,8.44,4.24
Paneer Curry,216,0.0,14.89,24.16,11.69
Rice and Dal,138,0.0,20.01,14.08,14.68
Grilled Chicken,336,43.94,8.22,14.15,4.46
Vegetable Upma,142,0.0,28.18,23.91,10.62
Idli,245,0.0,6.87,24.51,4.34
Vegetable Biryani,202,0.0,28.71,24.48,14.69
Vegetable Biryani,162,17.28,15.77,3.31,14.71
Fish Curry,187,19.46,3.69,10.49,6.44
Chapati with Curry,81,7.59,7.53,2.28,11.05
Vegetable Khichdi,342,35.39,15.26,15.49,6.7
Chapati with Curry,113,0.0,23.77,6.04,2.19
Oats Porridge,111,0.0,9.01,17.5,3.81
Chapati with Curry,124,0.0,8.49,18.92,6.35
Fish Curry,428,83.14,21.32,1.13,9.81
Vegetable Biryani,136,0.0,11.21,14.3,11.67
Vegetable Soup,437,57.08,27.76,10.85,6.57
Curd Rice,172,0.0,34.85,23.69,6.0
Dosa,191,11.27,19.51,7.54,10.01
Vegetable Upma,307,10.68,25.32,18.11,2.73
Idli,401,56.66,15.26,12.59,6.15
Vegetable Khichdi,424,55.01,19.45,14.02,1.38
Curd Rice,121,0.0,18.71,24.24,8.79
Egg Omelette,300,46.3,4.6,10.71,14.71
Rice and Dal,281,20.97,19.65,13.17,11.49
Grilled Chicken,307,28.77,8.33,17.62,5.08
Grilled Chicken,449,77.5,2.21,14.46,10.05
Idli,410,76.32,20.89,2.35,14.86
Vegetable Soup,432,64.06,17.95,11.55,1.15
Idli,337,34.42,18.94,13.73,8.24
Vegetable Khichdi,263,0.0,17.09,23.89,13.3
Egg Omelette,350,9.49,27.09,22.63,2.1
Vegetable Upma,207,0.0,7.76,23.68,12.54
Egg Omelette,286,16.97,18.89,15.84,11.29
Rice and Dal,294,7.44,27.54,17.12,7.51
Vegetable Upma,129,0.0,32.51,12.32,6.31
Vegetable Upma,192,17.39,21.97,3.84,8.56
Rice and Dal,184,18.38,24.74,1.28,1.01
Vegetable Soup,361,52.99,10.42,11.93,13.05
Grilled Chicken,416,41.89,11.33,22.57,11.71
Idli,251,0.0,33.9,21.6,10.81
Paneer Curry,350,27.14,5.32,24.46,5.36
Vegetable Biryani,335,59.79,10.12,6.15,7.7
Idli,365,67.92,17.59,2.55,10.21
Paneer Curry,426,91.68,5.3,4.23,5.18
Dosa,329,28.17,5.86,21.43,8.14
Grilled Chicken,193,0.0,8.47,23.92,4.83
Curd Rice,417,40.71,31.97,14.03,12.42
Fruit Salad,89,0.0,9.86,22.23,11.57
Fruit Salad,366,51.08,34.14,2.79,14.54
Paneer Curry,309,7.14,33.86,16.11,3.01
Rice and Dal,262,2.16,24.78,17.14,12.77
Vegetable Upma,210,0.0,22.08,20.66,8.65
Egg Omelette,121,0.0,15.9,17.05,3.19
Idli,240,7.42,25.8,11.9,1.41
Paneer Curry,257,0.0,20.56,22.6,2.38
Curd Rice,133,0.0,28.29,14.27,12.7
Curd Rice,269,22.83,22.33,9.82,10.11
Egg Omelette,136,0.0,32.37,1.46,5.32
Fish Curry,287,52.66,13.58,2.45,13.99
Vegetable Upma,114,0.0,29.93,6.6,8.16
Idli,349,34.57,12.81,17.72,6.59
Fish Curry,379,24.35,28.35,18.69,13.13
Vegetable Soup,140,3.72,28.89,1.06,1.01
Vegetable Soup,310,32.41,6.07,17.34,1.57
Vegetable Soup,104,0.0,24.25,23.67,12.57
Vegetable Upma,82,0.0,31.4,15.41,5.1
Vegetable Upma,115,6.27,14.63,3.49,5.55
Fish Curry,110,0.0,4.58,18.25,4.26
Vegetable Soup,93,0.0,8.58,17.53,6.48
Dosa,120,0.0,26.65,16.06,11.8
Idli,410,58.13,27.61,7.45,3.1
Vegetable Khichdi,259,18.06,17.57,12.94,8.4
Grilled Chicken,269,28.22,12.46,11.81,1.92
Rice and Dal,280,10.08,13.41,20.67,4.42
Egg Omelette,205,21.07,16.97,5.87,10.35
Idli,237,0.0,14.81,22.94,3.49
Idli,356,78.39,7.84,1.23,11.51
Paneer Curry,254,34.9,7.2,9.51,12.98
Rice and Dal,216,23.36,22.25,3.73,10.13
Egg Omelette,321,9.23,25.73,20.13,1.9
Paneer Curry,127,0.0,18.41,16.81,3.35
Curd Rice,334,31.51,15.43,16.25,2.06
Rice and Dal,278,0.0,26.0,21.91,7.23
Idli,413,58.47,6.19,17.15,3.85
Vegetable Soup,314,24.83,6.49,20.97,4.66
Oats Porridge,411,92.07,2.87,3.47,2.79
Curd Rice,112,0.0,34.89,10.68,13.81
Curd Rice,114,0.0,4.31,15.62,3.15
Oats Porridge,424,54.77,27.54,10.53,14.67
Egg Omelette,325,30.36,9.15,18.55,10.68
Grilled Chicken,425,40.87,19.5,20.39,7.72
Fish Curry,121,0.0,28.26,8.1,7.94
Egg Omelette,133,0.0,8.16,17.01,12.1
Vegetable Upma,174,0.0,20.44,15.15,14.69
Curd Rice,202,33.85,10.6,2.69,12.1
Oats Porridge,92,0.0,31.2,1.14,8.25
Dosa,448,89.7,4.12,8.08,14.01
Vegetable Khichdi,122,0.0,21.42,16.06,8.21
Oats Porridge,421,26.36,33.08,20.36,5.44
Grilled Chicken,111,0.0,22.01,10.97,6.93
Vegetable Khichdi,239,34.52,10.36,6.61,8.88
Grilled Chicken,226,18.8,13.78,10.63,6.26
Idli,198,0.0,20.61,14.29,13.5
Idli,318,48.87,26.65,1.77,5.45
Vegetable Upma,253,0.0,20.41,24.52,4.05
Oats Porridge,263,32.6,7.03,11.61,3.65
Rice and Dal,187,7.98,5.72,14.69,6.13
Fruit Salad,360,19.27,28.5,18.77,14.55
Dosa,307,11.75,11.07,23.97,4.96
Fish Curry,156,20.05,12.33,2.94,10.85
Vegetable Biryani,297,34.39,16.03,10.59,6.65
Fish Curry,259,43.98,5.81,6.65,5.14
Grilled Chicken,247,8.02,20.9,14.59,3.48
Vegetable Biryani,99,3.79,8.2,5.67,11.88
Vegetable Soup,239,20.57,3.92,15.67,13.18
Oats Porridge,215,7.08,2.39,19.68,14.86
Oats Porridge,104,1.74,13.53,4.77,11.58
Fruit Salad,180,20.34,18.54,2.72,14.71
Dosa,438,83.35,19.47,2.97,1.61
Dosa,200,8.68,24.67,7.4,8.3
Paneer Curry,94,0.0,7.2,11.25,14.68
Vegetable Soup,424,65.85,24.15,7.11,12.7
Paneer Curry,187,32.54,5.03,4.08,1.92
Vegetable Biryani,84,0.0,20.54,18.31,7.11
Fish Curry,333,16.66,25.84,18.11,13.04
Vegetable Biryani,367,72.79,5.62,5.93,14.79
Grilled Chicken,364,13.74,27.02,22.33,7.87
Grilled Chicken,147,0.0,16.44,18.12,14.77
Oats Porridge,252,0.0,15.11,23.8,9.67
Egg Omelette,107,0.0,11.73,13.5,7.74
Egg Omelette,311,47.14,28.13,1.1,13.02
Oats Porridge,292,17.17,21.02,15.47,2.26
Vegetable Soup,406,34.52,24.5,18.88,13.69
Vegetable Upma,96,0.0,16.72,22.02,8.03
Oats Porridge,183,8.35,20.3,7.6,1.9
Grilled Chicken,222,0.0,19.5,19.84,12.98
Grilled Chicken,171,0.0,6.49,19.96,4.02
Fish Curry,298,41.1,3.36,13.35,5.83
Vegetable Biryani,344,36.08,18.74,13.86,12.26
Vegetable Soup,289,20.32,15.86,16.03,10.84
Curd Rice,319,41.56,17.4,9.24,6.69
Rice and Dal,118,4.72,18.12,2.96,10.53
Curd Rice,264,43.48,12.48,4.46,12.83
Vegetable Upma,321,32.93,7.02,17.91,3.38
Vegetable Soup,340,39.37,25.45,8.97,7.65
Vegetable Biryani,227,0.0,15.66,23.29,1.54
Paneer Curry,196,0.0,29.28,20.05,6.6
Idli,140,0.0,28.99,3.73,9.87
Dosa,425,41.2,12.65,23.29,13.19
Chapati with Curry,105,0.0,30.44,22.13,11.14
Vegetable Upma,119,0.0,24.16,9.57,3.78
Grilled Chicken,101,0.0,6.86,16.34,4.93
Paneer Curry,325,14.53,16.77,22.2,10.38
Grilled Chicken,151,0.0,34.2,14.32,9.94
Chapati with Curry,427,52.42,2.83,22.89,14.72
Paneer Curry,316,29.66,17.95,13.95,12.55
Egg Omelette,383,70.3,13.37,5.37,1.83
Vegetable Khichdi,99,0.81,12.51,5.08,9.41
Egg Omelette,175,11.52,18.35,6.17,13.77
Dosa,357,22.62,10.45,24.97,6.0
Idli,324,53.09,11.46,7.31,14.89
Paneer Curry,403,62.78,2.47,15.78,9.6
Fruit Salad,345,19.65,34.13,14.43,5.49
Paneer Curry,99,0.0,17.8,6.03,13.37
Vegetable Biryani,316,18.38,17.08,19.35,5.29
