food_id,food_name,meal_type,diet_type,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B12,vitamin_C,vitamin_D,vitamin_E,vitamin_K,vitamin_H
11,Rice and Dal,Lunch,Veg,415,63.18,8.35,14.32,6.4,219.94,32.34,0.91,0.62,72.2,17.29,73.53,89.42,54.9,35.41,50.3,60.29,42.17
12,Rice and Dal,Lunch,Veg,269,5.36,22.63,17.45,14.13,202.2,109.64,1.82,3.52,41.11,65.78,33.41,62.43,53.47,74.22,25.79,9.7,33.9
13,Rice and Dal,Lunch,Veg,210,0.0,3.96,23.67,11.02,334.1,44.09,2.97,2.4,89.72,5.94,5.18,54.14,44.76,43.16,54.56,85.43,71.84
14,Fruit Salad,Breakfast,Veg,265,31.98,11.57,10.09,8.12,205.5,105.43,4.98,4.81,24.18,64.72,72.34,29.19,45.07,80.02,15.31,13.5,58.81
15,Oats Porridge,Breakfast,Veg,81,0.0,14.26,10.51,14.92,228.93,42.33,2.78,1.65,72.45,42.71,66.84,10.3,5.66,25.6,54.71,59.4,34.04
16,Egg Omelette,Dinner,Non-Veg,159,0.0,20.85,19.4,12.74,158.56,94.24,7.38,1.61,4.13,40.63,53.44,85.12,70.44,26.93,38.23,53.73,2.35
17,Grilled Chicken,Lunch,Non-Veg,295,27.13,7.6,17.34,7.62,181.15,94.36,2.53,1.14,59.64,34.53,89.88,75.52,6.25,22.07,42.81,10.94,86.61
18,Rice and Dal,Lunch,Veg,130,5.33,24.51,1.18,8.1,285.95,15.03,1.25,1.4,79.41,10.66,54.55,48.71,44.56,82.37,62.88,4.04,1.8
19,Fruit Salad,Breakfast,Veg,129,0.0,30.61,9.58,6.26,268.63,87.85,3.38,1.52,7.64,31.33,11.43,26.52,64.65,66.87,27.04,41.65,42.81
20,Idli,Breakfast,Veg,220,7.31,3.14,19.8,3.01,298.5,58.98,2.15,2.98,6.09,79.89,8.91,68.68,31.8,87.12,36.82,7.47,7.45
21,Fish Curry,Dinner,Non-Veg,226,4.97,29.23,9.91,14.81,176.47,81.41,3.26,4.31,2.17,23.3,60.66,31.85,24.63,57.24,24.34,39.87,64.22
22,Idli,Breakfast,Veg,186,0.0,4.56,24.19,2.63,313.34,58.95,3.67,1.36,38.36,58.48,68.6,64.09,51.99,10.03,43.69,64.1,60.37
23,Grilled Chicken,Lunch,Non-Veg,185,5.55,18.45,9.89,2.92,62.86,97.94,3.54,4.93,5.81,4.65,32.32,14.47,85.44,34.06,23.27,4.04,43.17
24,Curd Rice,Lunch,Veg,220,6.27,14.76,15.1,11.6,108.01,16.6,2.19,0.85,23.34,55.38,60.98,79.77,17.48,22.52,53.6,30.85,3.52
25,Curd Rice,Lunch,Veg,308,51.1,13.14,5.67,15.0,33.59,67.09,5.68,4.34,72.07,87.37,84.79,73.99,2.56,19.0,58.53,65.24,47.9
26,Dosa,Breakfast,Veg,352,73.44,5.74,3.92,8.7,140.81,27.99,2.84,3.95,5.29,23.34,1.33,39.0,53.13,49.99,33.31,1.45,8.42
27,Oats Porridge,Breakfast,Veg,368,63.2,24.8,1.78,4.62,80.5,41.13,3.54,2.77,72.3,87.71,68.54,85.05,31.69,46.3,21.95,14.02,88.41
28,Rice and Dal,Lunch,Veg,87,0.0,26.6,5.02,9.77,97.79,19.23,5.7,1.93,9.3,46.86,66.49,77.56,63.73,50.85,62.05,24.63,43.81
29,Curd Rice,Lunch,Veg,316,55.37,13.57,4.47,12.51,85.03,44.6,6.52,2.0,9.49,72.82,65.62,18.61,87.62,1.96,22.52,66.79,58.79
30,Egg Omelette,Dinner,Non-Veg,272,15.72,5.32,20.87,13.05,23.11,31.45,0.62,1.48,63.01,10.54,43.9,56.27,37.93,22.26,12.64,35.85,15.4
31,Grilled Chicken,Lunch,Non-Veg,331,23.97,13.58,20.09,6.89,73.31,71.0,6.31,1.88,43.96,69.48,5.72,11.55,27.09,63.92,51.89,1.95,60.56
32,Vegetable Khichdi,Dinner,Veg,181,28.95,4.89,5.07,8.09,183.3,106.42,6.96,3.76,20.05,5.63,79.75,37.95,18.4,39.3,68.88,38.96,39.37
33,Idli,Breakfast,Veg,190,7.36,7.4,14.55,11.34,306.07,91.72,3.98,4.31,19.16,44.79,21.02,58.41,38.78,71.14,6.9,5.95,2.18
34,Egg Omelette,Dinner,Non-Veg,119,0.0,13.29,22.57,1.74,75.26,90.38,6.16,2.69,71.86,41.71,45.01,20.15,65.64,35.1,58.5,52.29,58.36
35,Fruit Salad,Breakfast,Veg,127,0.0,12.55,24.67,6.38,45.13,112.53,1.04,1.24,71.79,55.71,71.0,63.45,57.25,89.47,85.26,70.74,8.4
36,Vegetable Soup,Dinner,Veg,217,31.48,9.13,6.06,6.27,264.67,95.02,6.13,2.31,73.93,29.59,81.35,86.77,53.04,77.04,44.66,89.7,69.83
37,Egg Omelette,Dinner,Non-Veg,186,20.34,7.06,8.49,13.34,118.19,110.37,5.64,1.8,29.49,78.18,28.73,89.58,87.77,86.55,1.48,59.0,46.46
38,Vegetable Biryani,Lunch,Veg,89,0.0,11.26,6.65,2.59,203.78,31.24,2.78,3.59,83.78,26.46,87.56,32.05,28.79,49.06,54.52,6.38,49.05
39,Vegetable Biryani,Lunch,Veg,289,32.0,6.7,14.91,8.81,67.96,30.92,0.88,4.5,24.02,76.06,80.94,8.34,6.23,34.28,77.38,64.59,15.66
40,Egg Omelette,Dinner,Non-Veg,151,0.0,25.55,22.18,14.87,223.74,76.86,3.34,2.6,72.98,26.5,34.02,72.53,8.95,78.62,82.68,87.79,8.07
41,Fruit Salad,Breakfast,Veg,189,0.0,26.37,19.42,4.82,200.88,69.27,3.96,0.67,14.64,42.59,10.29,20.19,14.19,35.34,11.63,61.36,77.84
42,Rice and Dal,Lunch,Veg,387,74.5,9.34,5.74,12.77,184.55,38.98,5.59,2.22,56.8,40.42,41.28,29.66,55.23,63.16,20.89,31.67,44.83
43,Vegetable Biryani,Lunch,Veg,183,0.0,11.84,24.36,3.45,58.15,42.36,4.2,2.56,20.52,49.74,44.49,37.58,51.29,30.38,36.48,45.45,74.72
44,Curd Rice,Lunch,Veg,178,0.0,29.84,18.82,2.97,26.86,111.12,6.92,2.68,10.92,21.23,8.3,16.39,35.45,74.97,30.87,65.89,9.82
45,Oats Porridge,Breakfast,Veg,410,30.06,24.96,21.1,14.03,293.64,117.84,5.13,1.36,47.77,25.08,39.88,56.69,55.26,42.49,88.21,18.74,37.24
46,Chapati with Curry,Lunch,Veg,405,64.59,10.36,11.69,1.62,22.13,92.07,2.91,2.41,3.02,28.88,27.94,69.95,65.8,9.19,3.47,63.03,31.37
47,Vegetable Biryani,Lunch,Veg,318,58.0,19.05,1.09,12.7,208.34,32.37,3.09,0.6,4.45,65.0,58.53,42.93,66.31,80.64,87.29,38.25,35.18
48,Egg Omelette,Dinner,Non-Veg,286,0.0,31.71,18.33,13.88,341.88,55.33,3.52,2.45,58.34,32.55,42.65,29.11,82.3,42.67,86.08,44.94,61.79
49,Vegetable Biryani,Lunch,Veg,229,2.77,21.92,14.47,5.07,115.59,26.71,1.01,4.88,51.12,16.54,75.61,62.69,21.98,79.4,76.73,51.84,38.0
50,Egg Omelette,Dinner,Non-Veg,436,90.22,15.36,1.52,12.57,317.88,117.65,4.91,3.65,85.23,73.16,17.66,77.49,13.71,37.94,22.59,30.24,33.73
51,Dosa,Breakfast,Veg,131,1.34,26.78,2.06,11.03,278.09,46.6,3.11,3.11,57.26,59.37,58.43,82.35,89.75,30.97,59.81,45.5,39.37
52,Vegetable Upma,Breakfast,Veg,101,0.0,21.96,5.44,7.3,298.45,21.08,4.39,0.98,55.8,83.79,65.55,26.43,55.69,21.45,85.37,27.81,13.61
53,Vegetable Soup,Dinner,Veg,409,31.23,25.34,20.3,14.57,88.09,15.86,2.05,0.98,85.38,74.08,40.26,67.94,9.71,74.46,51.07,12.89,25.46
54,Vegetable Soup,Dinner,Veg,194,0.0,18.7,23.69,3.7,76.14,13.06,7.7,2.06,7.57,62.44,35.9,29.73,43.71,84.81,81.69,1.62,69.12
55,Grilled Chicken,Lunch,Non-Veg,310,28.3,20.29,12.85,8.07,207.24,39.21,1.67,3.21,62.68,8.13,78.76,57.41,37.13,21.52,59.68,5.43,72.0
56,Curd Rice,Lunch,Veg,403,84.28,13.45,1.34,13.99,167.46,112.33,6.98,4.05,60.82,7.61,37.12,26.46,11.98,59.51,73.35,67.88,27.0
57,Dosa,Breakfast,Veg,222,18.55,13.62,10.37,6.42,71.14,25.96,5.02,2.54,43.38,9.97,43.78,36.87,35.52,88.95,33.17,52.28,71.77
58,Chapati with Curry,Lunch,Veg,389,36.63,7.59,23.57,3.39,166.81,43.42,5.0,0.36,22.98,73.65,20.35,62.18,1.2,45.65,46.29,60.47,31.66
59,Curd Rice,Lunch,Veg,82,0.0,27.24,11.52,3.1,180.54,51.42,5.55,0.98,6.99,34.25,71.74,40.65,9.05,74.97,33.22,17.26,41.74
60,Chapati with Curry,Lunch,Veg,410,64.38,32.85,2.34,6.59,322.53,98.51,5.87,2.46,74.79,70.95,6.14,13.33,59.23,35.81,87.86,41.77,39.16
61,Vegetable Khichdi,Dinner,Veg,297,16.68,13.29,19.68,8.16,170.38,84.7,2.1,0.65,43.31,46.45,33.34,87.04,64.6,65.81,71.96,48.38,4.3
62,Chapati with Curry,Lunch,Veg,244,36.32,8.05,7.39,3.62,226.34,95.83,2.83,4.62,38.66,35.39,18.43,75.24,76.86,66.4,89.1,33.72,62.86
63,Fruit Salad,Breakfast,Veg,331,56.98,13.6,5.41,8.89,314.32,99.1,3.55,4.29,9.84,75.72,45.44,69.95,88.62,19.49,74.36,88.3,9.84
64,Chapati with Curry,Lunch,Veg,112,0.0,32.14,10.31,12.41,111.86,102.34,7.9,1.82,1.04,10.84,57.53,89.18,6.31,36.67,8.95,22.26,66.37
65,Vegetable Soup,Dinner,Veg,260,28.98,28.26,3.45,13.18,159.34,110.18,0.87,0.41,33.56,23.7,68.58,27.01,33.1,25.51,38.83,49.57,21.28
66,Fruit Salad,Breakfast,Veg,313,38.64,13.2,11.74,7.78,72.61,34.79,4.89,3.81,9.49,55.76,48.8,4.74,34.7,22.41,45.4,35.43,59.75
67,Vegetable Upma,Breakfast,Veg,241,44.0,5.83,4.63,11.18,273.99,98.42,3.14,4.13,48.38,9.53,60.13,63.49,16.33,10.34,30.11,64.89,44.24
68,Dosa,Breakfast,Veg,90,0.0,8.03,9.77,14.74,319.22,32.03,4.26,2.88,88.98,84.97,2.34,32.87,39.42,33.5,43.36,30.66,44.19
69,Fish Curry,Dinner,Non-Veg,140,3.03,28.28,1.64,1.65,257.7,97.11,0.79,2.01,14.85,50.48,36.79,11.91,61.51,2.6,74.33,27.61,66.75
70,Curd Rice,Lunch,Veg,408,70.61,22.05,4.15,13.91,31.83,80.23,5.46,4.42,61.48,14.07,42.59,6.02,6.85,48.8,7.29,73.41,2.79
71,Vegetable Upma,Breakfast,Veg,244,0.0,18.24,23.96,8.29,327.51,60.72,2.09,0.68,32.89,31.91,73.44,3.86,23.03,37.8,44.85,51.86,52.86
72,Curd Rice,Lunch,Veg,283,45.92,8.22,7.38,1.03,145.51,13.16,7.51,1.86,61.67,48.22,0.64,64.81,21.05,21.21,8.5,10.04,14.02
73,Paneer Curry,Dinner,Veg,330,57.62,7.58,7.69,1.73,144.21,36.15,5.76,2.34,59.58,65.92,69.33,45.45,65.06,0.21,37.04,72.83,2.41
74,Dosa,Breakfast,Veg,395,30.95,15.98,23.03,6.91,122.13,108.15,4.52,4.31,80.83,41.92,24.46,50.73,3.71,30.72,63.16,17.88,78.17
75,Fruit Salad,Breakfast,Veg,341,35.28,4.43,20.24,8.41,89.65,94.66,7.68,4.84,4.91,55.03,43.46,80.65,25.73,52.16,50.49,88.06,25.13
76,Vegetable Khichdi,Dinner,Veg,248,13.59,7.93,17.99,14.05,117.3,81.21,4.07,0.66,86.58,60.47,49.95,20.89,84.37,73.33,55.49,35.36,48.93
77,Dosa,Breakfast,Veg,435,69.5,9.3,13.31,4.92,172.92,95.97,5.57,2.16,80.3,56.52,80.25,10.46,71.99,79.87,60.74,41.26,23.4
78,Vegetable Upma,Breakfast,Veg,292,0.0,32.47,21.31,10.64,102.3,39.25,6.48,3.62,28.48,49.25,79.52,46.3,16.95,35.6,9.27,24.89,49.43
79,Vegetable Upma,Breakfast,Veg,249,0.0,30.51,17.35,11.64,331.27,84.44,6.94,4.06,60.71,69.45,41.71,6.41,13.92,70.29,22.2,24.2,72.25
80,Dosa,Breakfast,Veg,444,77.33,7.44,11.66,8.36,185.18,101.75,3.71,2.46,66.28,84.53,50.2,10.89,46.59,27.25,80.15,27.96,40.98
81,Dosa,Breakfast,Veg,234,0.0,33.31,15.56,13.69,60.65,24.76,5.53,3.22,5.28,31.18,34.57,79.73,78.97,29.13,39.16,36.3,35.21
82,Vegetable Khichdi,Dinner,Veg,368,31.51,13.15,21.04,4.88,186.46,15.28,5.64,1.59,8.03,66.22,3.71,31.66,32.57,40.53,88.03,32.73,33.45
83,Paneer Curry,Dinner,Veg,213,0.0,29.55,11.88,8.97,238.43,49.66,5.09,2.0,70.51,16.89,1.41,50.88,20.38,78.14,19.76,68.78,86.74
84,Grilled Chicken,Lunch,Non-Veg,146,0.0,28.36,7.21,1.82,315.48,99.62,7.45,4.45,5.49,74.83,44.62,37.86,34.29,42.65,40.44,3.29,81.84
85,Dosa,Breakfast,Veg,189,15.39,9.74,9.83,1.76,278.24,99.87,1.48,4.1,1.34,21.96,52.79,43.85,79.07,72.56,47.93,16.69,63.96
86,Curd Rice,Lunch,Veg,344,76.62,6.14,1.44,4.82,224.87,91.24,2.11,3.78,33.12,52.65,73.82,25.03,2.27,7.2,51.79,89.52,33.69
87,Rice and Dal,Lunch,Veg,388,36.88,8.71,22.85,12.02,85.9,77.35,3.86,1.65,38.49,24.12,56.54,75.57,72.08,6.35,53.37,0.81,24.78
88,Fish Curry,Dinner,Non-Veg,110,0.0,18.4,18.54,11.21,77.83,47.98,5.65,0.87,17.99,14.74,61.24,60.98,88.27,63.56,0.84,67.62,15.5
89,Vegetable Soup,Dinner,Veg,95,0.0,20.0,9.77,12.53,76.2,82.6,7.13,3.82,41.04,54.69,82.04,7.49,57.13,66.06,21.47,58.8,64.86
90,Vegetable Upma,Breakfast,Veg,213,0.0,10.9,23.33,2.39,292.88,63.79,2.91,2.37,40.06,10.53,23.07,46.09,4.03,17.7,13.8,45.84,7.29
91,Vegetable Soup,Dinner,Veg,228,0.0,32.77,23.2,10.1,237.35,85.06,5.34,3.8,17.77,28.38,19.58,50.41,34.38,85.13,1.33,49.03,82.83
92,Fruit Salad,Breakfast,Veg,162,0.0,31.62,6.81,2.82,290.33,100.55,4.77,3.26,7.82,18.85,76.48,84.26,71.35,26.2,89.87,31.17,88.9
93,Rice and Dal,Lunch,Veg,150,0.0,33.75,3.42,5.02,305.75,36.73,1.88,4.19,82.57,34.02,61.21,43.1,32.33,43.79,73.41,65.96,8.99
94,Oats Porridge,Breakfast,Veg,405,64.51,25.94,4.8,10.66,91.58,68.83,1.16,0.96,58.38,82.86,88.44,44.92,51.83,77.29,48.69,26.09,16.45
95,Fish Curry,Dinner,Non-Veg,86,0.0,27.97,1.77,8.03,78.03,103.32,3.82,3.51,36.72,55.61,80.46,72.25,65.65,64.37,21.13,39.34,16.46
96,Grilled Chicken,Lunch,Non-Veg,359,26.05,26.01,16.75,4.65,274.79,34.42,4.7,1.05,61.38,20.15,47.58,28.29,63.76,39.82,12.24,37.56,13.19
97,Fruit Salad,Breakfast,Veg,125,0.0,25.29,4.35,12.16,45.56,30.56,7.92,2.53,1.4,56.62,56.38,1.18,32.44,23.42,41.9,57.77,77.36
98,Grilled Chicken,Lunch,Non-Veg,244,11.78,29.64,8.7,9.03,218.49,92.76,1.7,0.31,57.04,7.07,70.21,16.4,45.66,2.63,28.2,10.77,70.44
99,Vegetable Khichdi,Dinner,Veg,429,53.84,31.45,9.76,9.03,59.93,38.76,2.49,1.24,0.54,35.26,80.29,77.22,22.92,87.96,22.77,75.59,84.49
100,Dosa,Breakfast,Veg,120,0.0,18.54,20.24,1.16,174.6,105.38,4.78,4.45,36.28,79.59,24.6,1.07,23.25,48.32,82.29,57.02,67.7
101,Chapati with Curry,Lunch,Veg,233,13.84,25.65,8.34,3.83,45.26,33.62,5.14,1.65,50.68,47.79,68.49,55.88,79.69,9.39,87.91,39.01,31.96
102,Vegetable Khichdi,Dinner,Veg,139,0.0,18.96,18.11,4.21,208.36,111.53,6.06,3.08,16.06,14.52,12.56,12.89,25.72,25.96,24.65,29.01,10.65
103,Chapati with Curry,Lunch,Veg,142,0.0,26.11,12.13,10.54,301.57,91.62,1.69,2.79,87.76,16.27,70.74,47.25,52.6,74.09,36.05,35.93,41.16
104,Fish Curry,Dinner,Non-Veg,105,0.0,30.44,5.64,6.6,332.11,82.74,6.26,4.74,40.59,54.36,7.41,52.99,21.96,52.23,39.14,24.08,58.56
105,Vegetable Khichdi,Dinner,Veg,365,51.11,17.03,10.27,9.01,60.58,80.87,4.21,3.1,43.14,2.53,73.24,58.03,58.79,10.5,9.94,64.63,60.24
106,Fruit Salad,Breakfast,Veg,366,69.18,15.41,3.07,3.55,59.6,15.1,7.84,1.45,19.91,64.6,58.56,55.33,82.19,52.17,63.92,71.61,63.76
107,Rice and Dal,Lunch,Veg,373,17.97,27.47,21.25,8.07,191.84,86.99,6.38,2.52,76.81,9.43,76.02,6.99,53.76,59.87,28.12,24.96,81.19
108,Fish Curry,Dinner,Non-Veg,248,8.48,3.41,22.27,4.16,124.91,36.04,7.08,1.76,12.09,3.32,30.9,1.57,55.63,6.4,74.8,1.74,40.68
109,Vegetable Soup,Dinner,Veg,317,47.58,9.42,9.89,14.9,146.87,89.1,6.97,1.68,44.54,52.81,30.12,87.35,15.59,63.23,3.71,27.99,26.09
110,Fruit Salad,Breakfast,Veg,321,24.43,20.61,15.65,10.04,172.75,24.33,3.44,4.86,5.25,63.4,54.21,84.48,49.5,85.05,49.25,76.02,73.73
111,Chapati with Curry,Lunch,Veg,444,85.37,13.73,5.29,1.22,127.0,55.83,6.16,1.07,13.14,83.2,26.9,45.74,36.69,50.56,27.85,62.97,85.49
112,Dosa,Breakfast,Veg,442,76.47,12.39,9.62,9.04,304.41,28.6,5.53,1.31,63.16,78.87,73.04,82.56,73.9,64.47,54.9,72.7,83.71
113,Rice and Dal,Lunch,Veg,284,57.52,8.55,2.19,2.06,120.13,117.04,5.57,1.57,15.89,89.12,45.35,48.46,64.76,49.61,23.62,11.2,58.5
114,Vegetable Biryani,Lunch,Veg,243,21.44,4.03,15.68,13.56,136.71,11.31,0.78,3.93,80.76,74.65,42.37,30.71,70.62,88.93,27.5,47.44,63.81
115,Vegetable Upma,Breakfast,Veg,415,69.71,4.99,12.91,6.82,272.7,47.79,2.03,3.95,6.36,69.99,54.36,30.65,6.61,0.32,19.84,41.66,60.82
116,Paneer Curry,Dinner,Veg,288,46.77,21.54,1.64,2.17,32.97,41.25,6.83,2.29,42.3,3.93,32.74,27.53,39.6,53.84,16.27,21.01,54.54
117,Vegetable Biryani,Lunch,Veg,383,50.47,2.76,18.9,2.86,239.24,33.44,1.85,0.37,15.05,34.75,85.68,6.78,86.23,43.68,25.88,78.44,19.66
118,Curd Rice,Lunch,Veg,364,37.09,2.54,22.83,5.84,195.8,18.87,3.66,4.65,4.98,17.91,82.89,68.99,45.46,44.31,27.59,57.69,29.89
119,Oats Porridge,Breakfast,Veg,95,0.0,27.75,4.01,7.82,98.84,49.07,4.53,1.23,52.11,40.49,47.09,51.12,45.68,79.73,77.64,4.16,4.47
120,Vegetable Biryani,Lunch,Veg,122,0.0,21.19,21.89,8.47,179.72,77.63,6.54,2.34,34.14,79.99,6.31,3.64,33.09,50.67,32.34,64.02,57.74
121,Curd Rice,Lunch,Veg,449,32.33,25.47,24.2,7.55,201.79,52.65,2.21,1.53,44.99,34.3,57.62,40.0,17.99,44.53,45.02,25.82,41.57
122,Vegetable Upma,Breakfast,Veg,283,13.33,21.76,15.85,5.46,322.53,87.88,2.32,0.66,60.96,82.21,2.9,22.68,34.42,54.91,83.84,73.93,52.01
123,Rice and Dal,Lunch,Veg,416,38.59,11.14,24.12,11.64,239.12,35.53,1.45,2.01,38.6,65.65,15.35,86.5,51.6,66.69,2.78,40.36,60.46
124,Chapati with Curry,Lunch,Veg,307,18.33,23.93,15.33,13.24,338.88,72.09,7.78,1.93,9.89,31.14,57.79,77.03,14.67,50.37,8.21,48.04,8.44
125,Vegetable Khichdi,Dinner,Veg,85,0.0,6.78,14.23,14.73,148.91,10.69,5.45,3.51,19.48,80.39,82.48,38.14,88.65,34.77,62.59,20.69,23.77
126,Rice and Dal,Lunch,Veg,447,91.23,5.62,6.62,14.63,60.43,99.37,0.83,4.32,59.18,68.75,82.29,10.98,79.42,89.35,32.66,6.24,81.59
127,Fruit Salad,Breakfast,Veg,272,0.0,19.98,23.64,4.25,83.19,100.32,2.7,3.0,70.97,49.33,2.05,72.01,76.29,15.29,87.72,19.81,62.79
128,Chapati with Curry,Lunch,Veg,202,0.24,5.42,19.93,8.82,151.41,63.4,5.75,4.78,30.87,9.94,64.21,64.9,79.8,87.33,35.15,40.4,54.32
129,Chapati with Curry,Lunch,Veg,380,61.78,18.19,6.68,3.35,210.16,99.97,1.71,3.47,9.38,46.06,46.19,28.37,58.91,25.66,50.1,51.44,50.35
130,Idli,Breakfast,Veg,185,0.87,7.51,16.83,9.1,347.58,108.98,4.93,4.37,53.38,62.34,6.32,31.31,8.08,37.84,35.28,85.85,83.35
131,Grilled Chicken,Lunch,Non-Veg,162,0.0,17.05,18.6,9.0,259.51,64.37,6.28,4.53,9.51,63.84,68.24,77.36,2.98,28.9,82.64,58.38,85.98
132,Egg Omelette,Dinner,Non-Veg,94,0.0,34.36,5.88,9.48,173.0,29.05,6.06,3.43,54.53,60.57,69.64,57.45,79.94,65.66,50.54,14.81,75.93
133,Vegetable Khichdi,Dinner,Veg,109,0.0,12.8,15.66,6.52,331.77,72.77,3.43,0.58,52.16,80.0,38.35,29.28,34.35,52.25,52.19,1.77,45.66
134,Oats Porridge,Breakfast,Veg,350,45.22,6.87,15.74,9.79,176.28,28.55,2.97,3.37,61.04,32.0,41.79,67.93,3.65,31.01,70.57,83.65,28.68
135,Chapati with Curry,Lunch,Veg,161,0.0,11.46,23.4,13.61,112.58,49.28,6.32,2.89,68.54,86.71,1.58,50.51,12.44,64.52,34.27,9.11,13.16
136,Egg Omelette,Dinner,Non-Veg,106,0.0,28.63,18.31,11.5,333.46,50.85,4.28,4.25,60.3,57.79,4.87,67.78,3.6,22.72,75.5,46.1,59.74
137,Egg Omelette,Dinner,Non-Veg,94,0.0,11.36,15.67,13.73,116.38,36.54,4.34,2.02,17.71,44.12,65.36,22.76,16.08,30.4,82.73,35.7,54.1
138,Fish Curry,Dinner,Non-Veg,212,13.31,3.13,16.25,13.12,203.18,20.64,2.69,4.93,79.08,64.1,72.37,27.04,55.21,60.49,53.83,60.51,15.12
139,Egg Omelette,Dinner,Non-Veg,285,33.42,10.74,12.04,2.47,194.06,89.43,4.74,2.07,70.92,41.2,77.52,1.24,21.44,15.4,29.74,84.65,8.62
140,Fruit Salad,Breakfast,Veg,123,0.0,25.5,7.49,14.67,70.77,42.35,3.8,0.98,53.42,89.69,42.45,25.92,10.56,66.83,66.71,34.77,65.79
141,Vegetable Soup,Dinner,Veg,193,9.42,19.75,8.48,1.18,259.79,86.46,3.97,3.15,36.94,8.62,67.09,80.17,79.36,79.87,47.74,31.4,1.94
142,Idli,Breakfast,Veg,82,0.0,9.98,8.0,11.78,130.19,83.59,2.82,1.86,78.9,36.29,2.9,26.53,15.76,41.14,7.65,69.52,41.12
143,Chapati with Curry,Lunch,Veg,131,0.0,33.9,6.09,11.09,274.64,14.85,1.6,2.47,73.05,89.91,46.0,80.07,39.81,63.51,85.07,70.09,66.97
144,Oats Porridge,Breakfast,Veg,97,4.18,16.88,1.42,8.83,123.16,77.27,1.56,0.36,65.55,44.36,10.11,59.25,23.07,87.55,57.99,30.98,34.31
145,Vegetable Soup,Dinner,Veg,83,0.0,2.98,23.88,4.26,136.86,27.46,0.88,3.07,24.11,51.5,72.73,8.82,78.31,32.82,0.13,6.75,48.39
146,Vegetable Soup,Dinner,Veg,219,12.85,23.09,8.36,10.26,100.0,30.79,5.44,1.43,43.66,73.54,29.73,18.52,76.5,16.85,59.54,79.08,49.15
147,Vegetable Soup,Dinner,Veg,199,0.0,3.59,21.94,8.94,139.96,39.57,1.54,0.51,59.14,0.87,63.34,11.61,55.95,45.9,23.4,81.42,11.56
148,Fruit Salad,Breakfast,Veg,380,41.18,29.9,10.63,13.1,302.45,78.69,5.12,1.49,15.43,87.48,28.88,1.73,16.89,79.3,53.51,84.04,26.11
149,Paneer Curry,Dinner,Veg,419,62.01,29.6,5.84,4.32,107.72,97.52,3.24,1.98,75.08,48.04,64.95,24.83,85.92,24.55,43.11,34.58,83.09
150,Idli,Breakfast,Veg,116,0.0,30.39,16.13,4.19,162.47,19.34,6.52,2.09,81.58,69.76,24.38,7.23,11.7,55.83,38.46,77.55,17.94
151,Vegetable Soup,Dinner,Veg,439,46.14,32.24,13.94,5.92,52.05,100.29,7.06,2.25,40.24,36.61,10.23,21.06,37.43,11.11,12.73,71.11,63.44
152,Oats Porridge,Breakfast,Veg,410,70.45,11.6,9.09,11.06,258.38,90.55,3.72,3.78,79.03,40.03,18.23,57.37,26.67,51.8,73.63,81.15,61.23
